,URL,Name,Salience,Mentions
735,https://medigence.com/hospitals/cardiac-sciences/cabg/india,following,6.390143e-05,['following']
736,https://medigence.com/hospitals/cardiac-sciences/cabg/india,following,6.3887666e-05,['following']
737,https://medigence.com/hospitals/cardiac-sciences/cabg/india,advantage,6.381096e-05,['advantage']
738,https://medigence.com/hospitals/cardiac-sciences/cabg/india,pioneer,6.3717416e-05,['pioneer']
739,https://medigence.com/hospitals/cardiac-sciences/cabg/india,hospitals,6.3680105e-05,['hospitals']
740,https://medigence.com/hospitals/cardiac-sciences/cabg/india,hospitalization,6.365396e-05,['hospitalization']
741,https://medigence.com/hospitals/cardiac-sciences/cabg/india,hospitals,6.3641215e-05,['hospitals']
742,https://medigence.com/hospitals/cardiac-sciences/cabg/india,hospitals,6.362867e-05,['hospitals']
743,https://medigence.com/hospitals/cardiac-sciences/cabg/india,hospital,6.362248e-05,['hospital']
744,https://medigence.com/hospitals/cardiac-sciences/cabg/india,hospital,6.3592226e-05,['hospital']
745,https://medigence.com/hospitals/cardiac-sciences/cabg/india,size,6.358644e-05,['size']
746,https://medigence.com/hospitals/cardiac-sciences/cabg/india,hospital,6.3574626e-05,['hospital']
747,https://medigence.com/hospitals/cardiac-sciences/cabg/india,hospital,6.355742e-05,['hospital']
748,https://medigence.com/hospitals/cardiac-sciences/cabg/india,hospital,6.3551764e-05,['hospital']
749,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Hospitals,6.353505e-05,['Hospitals']
750,https://medigence.com/hospitals/cardiac-sciences/cabg/india,hospitals,6.352956e-05,['hospitals']
751,https://medigence.com/hospitals/cardiac-sciences/cabg/india,costs,6.3514395e-05,['costs']
752,https://medigence.com/hospitals/cardiac-sciences/cabg/india,hospitals,6.350798e-05,['hospitals']
753,https://medigence.com/hospitals/cardiac-sciences/cabg/india,cost,6.350575e-05,['cost']
754,https://medigence.com/hospitals/cardiac-sciences/cabg/india,cost,6.346392e-05,['cost']
755,https://medigence.com/hospitals/cardiac-sciences/cabg/india,specialties,6.292694e-05,['specialties']
756,https://medigence.com/hospitals/cardiac-sciences/cabg/india,place,6.292384e-05,['place']
757,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Spine Specialists,6.286623e-05,['Spine Specialists']
758,https://medigence.com/hospitals/cardiac-sciences/cabg/india,Cancer Specialists,6.286623e-05,['Cancer Specialists']
759,https://medigence.com/hospitals/cardiac-sciences/cabg/india,capacity.It,6.265369e-05,['capacity.It']
760,https://medigence.com/hospitals/cardiac-sciences/cabg/india,IndiaThe Minimal Access Surgery Centre,6.262171e-05,['IndiaThe Minimal Access Surgery Centre']
761,https://medigence.com/hospitals/cardiac-sciences/cabg/india,worldTechnological,6.262171e-05,['worldTechnological']
762,https://medigence.com/hospitals/cardiac-sciences/cabg/india,doctors,6.234133e-05,['doctors']
763,https://medigence.com/hospitals/cardiac-sciences/cabg/india,doctors,6.2312814e-05,['doctors']
764,https://medigence.com/hospitals/cardiac-sciences/cabg/india,countries,6.222612e-05,['countries']
765,https://medigence.com/hospitals/cardiac-sciences/cabg/india,countries,6.222612e-05,['countries']
766,https://medigence.com/hospitals/cardiac-sciences/cabg/india,countries,6.218707e-05,['countries']
767,https://medigence.com/hospitals/cardiac-sciences/cabg/india,countries,6.216827e-05,['countries']
768,https://medigence.com/hospitals/cardiac-sciences/cabg/india,one,6.216365e-05,['one']
769,https://medigence.com/hospitals/cardiac-sciences/cabg/india,countries,6.216365e-05,['countries']
770,https://medigence.com/hospitals/cardiac-sciences/cabg/india,specialties,6.21608e-05,['specialties']
